FID	IID	Y1
HG00096	HG00096	0
HG00097	HG00097	0
HG00099	HG00099	0
HG00100	HG00100	0
HG00101	HG00101	0
HG00102	HG00102	0
HG00103	HG00103	0
HG00105	HG00105	1
HG00106	HG00106	0
HG00107	HG00107	0
HG00108	HG00108	0
HG00109	HG00109	0
HG00110	HG00110	0
HG00111	HG00111	0
HG00112	HG00112	0
HG00113	HG00113	0
HG00114	HG00114	0
HG00115	HG00115	0
HG00116	HG00116	0
HG00117	HG00117	0
HG00118	HG00118	0
HG00119	HG00119	0
HG00120	HG00120	0
HG00121	HG00121	0
HG00122	HG00122	0
HG00123	HG00123	0
HG00125	HG00125	0
HG00126	HG00126	0
HG00127	HG00127	0
HG00128	HG00128	0
HG00129	HG00129	0
HG00130	HG00130	0
HG00131	HG00131	0
HG00132	HG00132	0
HG00133	HG00133	0
HG00136	HG00136	0
HG00137	HG00137	0
HG00138	HG00138	0
HG00139	HG00139	0
HG00140	HG00140	0
HG00141	HG00141	0
HG00142	HG00142	0
HG00143	HG00143	0
HG00145	HG00145	1
HG00146	HG00146	0
HG00148	HG00148	0
HG00149	HG00149	0
HG00150	HG00150	0
HG00151	HG00151	0
HG00154	HG00154	0
HG00155	HG00155	0
HG00157	HG00157	0
HG00158	HG00158	0
HG00159	HG00159	0
HG00160	HG00160	0
HG00171	HG00171	0
HG00173	HG00173	0
HG00174	HG00174	0
HG00176	HG00176	0
HG00177	HG00177	0
HG00178	HG00178	0
HG00179	HG00179	0
HG00180	HG00180	0
HG00181	HG00181	0
HG00182	HG00182	0
HG00183	HG00183	0
HG00185	HG00185	0
HG00186	HG00186	0
HG00187	HG00187	0
HG00188	HG00188	0
HG00189	HG00189	0
HG00190	HG00190	0
HG00231	HG00231	0
HG00232	HG00232	0
HG00233	HG00233	0
HG00234	HG00234	0
HG00235	HG00235	0
HG00236	HG00236	0
HG00237	HG00237	0
HG00238	HG00238	0
HG00239	HG00239	0
HG00240	HG00240	0
HG00242	HG00242	0
HG00243	HG00243	0
HG00244	HG00244	0
HG00245	HG00245	0
HG00246	HG00246	0
HG00250	HG00250	0
HG00251	HG00251	0
HG00252	HG00252	0
HG00253	HG00253	0
HG00254	HG00254	0
HG00255	HG00255	0
HG00256	HG00256	0
HG00257	HG00257	0
HG00258	HG00258	0
HG00259	HG00259	0
HG00260	HG00260	0
HG00261	HG00261	0
HG00262	HG00262	0
HG00263	HG00263	0
HG00264	HG00264	0
